policy_id,a_kwh,cancellation_cost_yuan,charge_bus_kwh,date,discharge_bus_kwh,effective_issue,emergency_cost_yuan,emergency_kwh,g0_kwh,grid_unused_kwh,grid_used_kwh,increase_cost_yuan,load_kw,physical_interval_end,physical_interval_start,price_yuan_per_kwh,pv_actual_kw,pv_curtailment_kwh,retained_cost_yuan,slot_id,soc_end_kwh,soc_roundoff_adjustment_kwh,soc_start_kwh,total_cost_yuan
P3_MAIN_MEAN_ROLLOUT_061218,461.65694722222258,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,461.65694722222258,114.23179722222267,347.42514999999992,0,6992.5544,2025-08-24T15:40:00,2025-08-24T15:30:00,0.75339999999999996,4908.0034999999998,0,347.81234403722249,94,10800,0,10800,347.81234403722249
P3_MAIN_MEAN_ROLLOUT_061218,454.10141470734106,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,451.32805833333293,85.308414707340944,368.79300000000012,3.2543950370798407,6911.2547000000004,2025-08-24T15:50:00,2025-08-24T15:40:00,0.7823,4698.4966999999997,0,353.07394003416636,95,10800,0,10800,356.32833507124622
P3_MAIN_MEAN_ROLLOUT_061218,445.99649826905579,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,432.86213194444451,19.40858160238929,426.5879166666665,15.869598111711577,7052.4399999999996,2025-08-24T16:00:00,2025-08-24T15:50:00,0.80549999999999999,4492.9125000000004,0,348.67044728125006,96,10800,0,10800,364.54004539296164
P3_MAIN_MEAN_ROLLOUT_061218,565.48015000000009,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,565.48015000000009,45.928466666666623,519.55168333333347,0,7174.3041000000003,2025-08-24T16:10:00,2025-08-24T16:00:00,0.82709999999999995,4056.9940000000001,0,467.70863206500007,97,10800,0,10800,467.70863206500007
P3_MAIN_MEAN_ROLLOUT_061218,660.40059583333357,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,660.40059583333357,60.603595833333429,599.79700000000014,0,7228.8440000000001,2025-08-24T16:20:00,2025-08-24T16:10:00,0.85189999999999999,3630.0619999999999,0,562.59526759041682,98,10800,0,10800,562.59526759041682
P3_MAIN_MEAN_ROLLOUT_061218,667.03240833333348,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,667.03240833333348,20.610325000000216,646.42208333333326,0,7223.8699999999999,2025-08-24T16:30:00,2025-08-24T16:20:00,0.87909999999999999,3345.3375000000001,0,586.38819016583341,99,10800,0,10800,586.38819016583341
P3_MAIN_MEAN_ROLLOUT_061218,756.60551527777761,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,756.60551527777761,77.996231944444162,678.60928333333345,0,7174.4663,2025-08-24T16:40:00,2025-08-24T16:30:00,0.90239999999999998,3102.8105999999998,0,682.76081698666655,100,10800,0,10800,682.76081698666655
P3_MAIN_MEAN_ROLLOUT_061218,831.32284999999979,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,831.32284999999979,110.04018333333306,721.28266666666673,0,7112.8063000000002,2025-08-24T16:50:00,2025-08-24T16:40:00,0.9163,2785.1102999999998,0,761.74112745499986,101,10800,0,10800,761.74112745499986
P3_MAIN_MEAN_ROLLOUT_061218,822.06706805555541,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,822.06706805555541,38.644151388888758,783.42291666666665,0,7093.8999999999996,2025-08-24T17:00:00,2025-08-24T16:50:00,0.9264,2393.3625000000002,0,761.56293184666652,102,10800,0,10800,761.56293184666652
P3_MAIN_MEAN_ROLLOUT_061218,953.99671666666677,0,0,2025-08-24,-0,2025-08-24T12:00:00,0,0,953.99671666666677,99.039366666666865,854.95734999999991,0,7156.6823999999997,2025-08-24T17:10:00,2025-08-24T17:00:00,0.94620000000000004,2026.9383,0,902.67169331000014,103,10800,0,10800,902.67169331000014
