slot_id,source_sheet,source_column,source_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized
108,光伏发电实际功率,DE,DE1,0.749999999999999,excel_numeric_time_serial,h:mm,18:00
109,光伏发电实际功率,DF,DF1,0.75694444444444398,excel_numeric_time_serial,h:mm,18:10
110,光伏发电实际功率,DG,DG1,0.76388888888888795,excel_numeric_time_serial,h:mm,18:20
111,光伏发电实际功率,DH,DH1,0.77083333333333304,excel_numeric_time_serial,h:mm,18:30
112,光伏发电实际功率,DI,DI1,0.77777777777777701,excel_numeric_time_serial,h:mm,18:40
113,光伏发电实际功率,DJ,DJ1,0.78472222222222199,excel_numeric_time_serial,h:mm,18:50
114,光伏发电实际功率,DK,DK1,0.79166666666666596,excel_numeric_time_serial,h:mm,19:00
115,光伏发电实际功率,DL,DL1,0.79861111111111105,excel_numeric_time_serial,h:mm,19:10
116,光伏发电实际功率,DM,DM1,0.80555555555555503,excel_numeric_time_serial,h:mm,19:20
117,光伏发电实际功率,DN,DN1,0.812499999999999,excel_numeric_time_serial,h:mm,19:30
118,光伏发电实际功率,DO,DO1,0.81944444444444398,excel_numeric_time_serial,h:mm,19:40
119,光伏发电实际功率,DP,DP1,0.82638888888888795,excel_numeric_time_serial,h:mm,19:50
120,光伏发电实际功率,DQ,DQ1,0.83333333333333304,excel_numeric_time_serial,h:mm,20:00
121,光伏发电实际功率,DR,DR1,0.84027777777777701,excel_numeric_time_serial,h:mm,20:10
122,光伏发电实际功率,DS,DS1,0.84722222222222199,excel_numeric_time_serial,h:mm,20:20
123,光伏发电实际功率,DT,DT1,0.85416666666666596,excel_numeric_time_serial,h:mm,20:30
124,光伏发电实际功率,DU,DU1,0.86111111111111105,excel_numeric_time_serial,h:mm,20:40
125,光伏发电实际功率,DV,DV1,0.86805555555555503,excel_numeric_time_serial,h:mm,20:50
126,光伏发电实际功率,DW,DW1,0.874999999999999,excel_numeric_time_serial,h:mm,21:00
127,光伏发电实际功率,DX,DX1,0.88194444444444398,excel_numeric_time_serial,h:mm,21:10
128,光伏发电实际功率,DY,DY1,0.88888888888888795,excel_numeric_time_serial,h:mm,21:20
129,光伏发电实际功率,DZ,DZ1,0.89583333333333304,excel_numeric_time_serial,h:mm,21:30
130,光伏发电实际功率,EA,EA1,0.90277777777777701,excel_numeric_time_serial,h:mm,21:40
131,光伏发电实际功率,EB,EB1,0.90972222222222199,excel_numeric_time_serial,h:mm,21:50
132,光伏发电实际功率,EC,EC1,0.91666666666666596,excel_numeric_time_serial,h:mm,22:00
133,光伏发电实际功率,ED,ED1,0.92361111111111105,excel_numeric_time_serial,h:mm,22:10
