policy,date,block_id,physical_interval,charge_bus_kwh,discharge_bus_kwh,soc_0_kwh,soc_24_kwh
MAIN,2025-03-04,2,4:00-8:00,2012.8017830041188,2084.037703333334,8750.204672296295,8820.938669444446
MAIN,2025-03-04,3,8:00-12:00,6154.084843333333,4370.5409666666665,8750.204672296295,8820.938669444446
MAIN,2025-03-04,4,12:00-16:00,1008.4681402057604,758.0857,8750.204672296295,8820.938669444446
MAIN,2025-03-04,5,16:00-20:00,8.389148148148909,5524.902649999999,8750.204672296295,8820.938669444446
MAIN,2025-03-04,6,20:00-24:00,8260.551916666667,2954.09481,8750.204672296295,8820.938669444446
MAIN,2025-03-05,1,0:00-4:00,2123.4252839036963,1.3111245335546755,8820.938669444446,8756.141312804928
MAIN,2025-03-05,2,4:00-8:00,1468.161751009156,3150.794812412994,8820.938669444446,8756.141312804928
MAIN,2025-03-05,3,8:00-12:00,6158.377398295484,3157.904783333333,8820.938669444446,8756.141312804928
MAIN,2025-03-05,4,12:00-16:00,1359.1568823348684,907.2223478101172,8820.938669444446,8756.141312804928
MAIN,2025-03-05,5,16:00-20:00,0.0,5607.437949023229,8820.938669444446,8756.141312804928
MAIN,2025-03-05,6,20:00-24:00,8327.698874796293,2977.470958037332,8820.938669444446,8756.141312804928
MAIN,2025-03-06,1,0:00-4:00,2061.434206783996,63.06206061303601,8756.141312804928,6364.6154291941575
MAIN,2025-03-06,2,4:00-8:00,1720.371555300614,3535.567498046089,8756.141312804928,6364.6154291941575
MAIN,2025-03-06,3,8:00-12:00,6251.226883333334,3131.0269666666663,8756.141312804928,6364.6154291941575
MAIN,2025-03-06,4,12:00-16:00,1648.9799236765712,999.460346881437,8756.141312804928,6364.6154291941575
MAIN,2025-03-06,5,16:00-20:00,188.5635794786264,5677.784911927181,8756.141312804928,6364.6154291941575
MAIN,2025-03-06,6,20:00-24:00,5711.083665622129,2986.6159606134524,8756.141312804928,6364.6154291941575
MAIN,2025-03-07,1,0:00-4:00,880.449741099397,19.644464674618177,6364.6154291941575,6412.404923808254
MAIN,2025-03-07,2,4:00-8:00,1215.5951754344314,4137.681683333333,6364.6154291941575,6412.404923808254
MAIN,2025-03-07,3,8:00-12:00,7964.661579433095,0.0,6364.6154291941575,6412.404923808254
MAIN,2025-03-07,4,12:00-16:00,0.0,0.0,6364.6154291941575,6412.404923808254
MAIN,2025-03-07,5,16:00-20:00,0.0,5858.059850942953,6364.6154291941575,6412.404923808254
MAIN,2025-03-07,6,20:00-24:00,5110.2150778655205,2230.049930700689,6364.6154291941575,6412.404923808254
MAIN,2025-03-08,1,0:00-4:00,382.7413326515966,72.80567594623636,6412.404923808254,9278.64064521355
MAIN,2025-03-08,2,4:00-8:00,86.59342528171345,4411.348184066235,6412.404923808254,9278.64064521355
MAIN,2025-03-08,3,8:00-12:00,9730.278433333331,0.0,6412.404923808254,9278.64064521355
MAIN,2025-03-08,4,12:00-16:00,211.4848687148919,0.0,6412.404923808254,9278.64064521355
MAIN,2025-03-08,5,16:00-20:00,36.18492660357232,5908.22481806576,6412.404923808254,9278.64064521355
MAIN,2025-03-08,6,20:00-24:00,8334.48678184451,2241.242685084992,6412.404923808254,9278.64064521355
MAIN,2025-03-09,1,0:00-4:00,1125.2734338252778,121.0758225539024,9278.64064521355,8906.325325397227
MAIN,2025-03-09,2,4:00-8:00,1796.214314873975,4538.296184955765,9278.64064521355,8906.325325397227
MAIN,2025-03-09,3,8:00-12:00,6075.2550934075,3177.351666666667,9278.64064521355,8906.325325397227
MAIN,2025-03-09,4,12:00-16:00,2991.0136519065863,504.13566666666657,9278.64064521355,8906.325325397227
MAIN,2025-03-09,5,16:00-20:00,0.0,5568.48570157414,9278.64064521355,8906.325325397227
MAIN,2025-03-09,6,20:00-24:00,8376.426456568297,2920.726935388677,9278.64064521355,8906.325325397227
MAIN,2025-03-10,1,0:00-4:00,1763.5809513845206,117.00296426838828,8906.325325397227,8800.542729308183
MAIN,2025-03-10,2,4:00-8:00,843.1506898798216,4887.289937007264,8906.325325397227,8800.542729308183
